iter	Logloss
0	0.2853348394
1	0.2239073629
2	0.2026431446
3	0.1956098866
4	0.1900432719
5	0.1879179232
6	0.1865813399
7	0.1854026251
8	0.1844509138
9	0.1840214873
10	0.1834928568
11	0.1827951503
12	0.1822256593
13	0.1815516511
14	0.181290644
15	0.1809750576
16	0.180647191
17	0.1801295425
18	0.1796877306
19	0.1794058471
20	0.1790211457
21	0.1787779824
22	0.1785300324
23	0.1780729078
24	0.1779516696
25	0.1777428759
26	0.1777411567
27	0.1774727063
28	0.1772647647
29	0.1772631357
30	0.1769299209
31	0.1767352871
32	0.1767338786
33	0.17641128
34	0.1760906512
35	0.176089343
36	0.1759219261
37	0.1756971631
38	0.1753923031
39	0.1749431832
40	0.1744664253
41	0.1742706537
42	0.1740012359
43	0.1737652102
44	0.1736895491
45	0.1735894528
46	0.1735363422
47	0.173327759
48	0.1730846209
49	0.1728381295
50	0.1727858609
51	0.1727851942
52	0.1726344484
53	0.1723996607
54	0.1723270471
55	0.1723259695
56	0.1722130116
57	0.1722126457
58	0.172073769
59	0.1717402936
60	0.1717398625
61	0.1715122776
62	0.1713989639
63	0.1712096481
64	0.171058797
65	0.1709860079
66	0.1707728786
67	0.170772227
68	0.1706609006
69	0.1705460205
70	0.1704682291
71	0.1703130975
72	0.1702321884
73	0.1700956776
74	0.1699064871
75	0.1696633465
76	0.1695597215
77	0.1694946114
78	0.169343848
79	0.1692419573
80	0.1689988718
81	0.1688462413
82	0.1687180359
83	0.1685017738
84	0.1680645958
85	0.1678294623
86	0.167711026
87	0.1674858796
88	0.1672014974
89	0.1670524708
90	0.1669464625
91	0.166800115
92	0.1666881595
93	0.1664701056
94	0.1660871159
95	0.1659902601
96	0.1658110642
97	0.1656451862
98	0.1655207651
99	0.1653230537
