iter	Passed	Remaining
0	75	7519
1	99	4852
2	121	3917
3	137	3304
4	156	2967
5	176	2767
6	196	2615
7	216	2489
8	234	2373
9	251	2265
10	269	2176
11	289	2122
12	307	2056
13	326	2008
14	347	1966
15	363	1910
16	381	1863
17	401	1830
18	421	1798
19	440	1760
20	458	1724
21	488	1731
22	508	1702
23	529	1678
24	549	1647
25	568	1618
26	581	1572
27	600	1545
28	620	1517
29	634	1479
30	651	1451
31	670	1425
32	686	1394
33	706	1370
34	722	1342
35	735	1306
36	753	1282
37	768	1254
38	786	1229
39	804	1207
40	821	1182
41	836	1155
42	856	1135
43	876	1115
44	893	1092
45	912	1071
46	930	1048
47	948	1027
48	965	1005
49	981	981
50	997	958
51	1012	934
52	1030	913
53	1048	892
54	1082	886
55	1150	904
56	1165	879
57	1180	854
58	1200	834
59	1223	815
60	1236	790
61	1262	773
62	1285	755
63	1305	734
64	1324	713
65	1342	691
66	1361	670
67	1379	649
68	1398	628
69	1419	608
70	1438	587
71	1461	568
72	1476	546
73	1498	526
74	1518	506
75	1538	485
76	1556	464
77	1573	443
78	1591	423
79	1610	402
80	1627	381
81	1648	361
82	1668	341
83	1699	323
84	1718	303
85	1737	282
86	1755	262
87	1774	242
88	1795	221
89	1813	201
90	1832	181
91	1851	161
92	1870	140
93	1886	120
94	1908	100
95	1928	80
96	1961	60
97	1983	40
98	2007	20
99	2027	0
